Gene	Num
NPM1	17
DNMT3A	17
TP53	11
FLT3	11
RUNX1	10
IDH2	10
WT1	9
KIT	8
NRAS	7
TTN	7
IDH1	7
TET2	5
MUC16	5
KRAS	5
ASXL1	4
GATA2	4
SPEN	4
PTPN11	4
ARHGAP35	4
TACC2	4
CEBPA	4
BCORL1	3
PRX	3
ASXL2	3
ADGRG4	3
NRDE2	3
NF1	3
MDC1	3
RAD21	3
AHNAK	3
USP19	3
SMC3	3
NEB	3
NBPF14	3
PLCE1	3
MED12	3
MACF1	3
BSN	3
NMUR2	3
SMC1A	3
HIVEP3	3
KDM6A	3
CACNA1B	3
MUC17	3
PCLO	3
MYH13	3
KDM3B	3
ATF7IP	3
KAT6B	3
FAM65A	3
XIRP2	3
PKHD1	3
DNAH8	3
HUWE1	3
APOB	3
KIAA1683	3
SYNE1	3
MROH2B	3
KIF2B	3
ILDR1	3
OR51A7	2
COL5A1	2
ALDH6A1	2
KIAA1109	2
SUZ12	2
FLG	2
GABBR1	2
PBRM1	2
ATP10B	2
PIM2	2
SNCAIP	2
GRIK2	2
NBAS	2
TRRAP	2
IFT140	2
RP1L1	2
SUV420H1	2
ZSWIM4	2
LAMA1	2
EDC4	2
COL12A1	2
MXRA5	2
SLC14A2	2
HKR1	2
SH3TC2	2
GIGYF2	2
LRRTM1	2
FANCM	2
VPS13D	2
SGK223	2
TANC2	2
WIZ	2
DOPEY2	2
MCM10	2
WBSCR17	2
ZNF614	2
TANC1	2
NPNT	2
EGFLAM	2
SLC26A9	2
CUL9	2
RBM3	2
RUNX1T1	2
DNAH17	2
ADAMTS12	2
GALNT18	2
NID2	2
MLLT4	2
THRAP3	2
ZBTB33	2
CHD4	2
QRICH2	2
ARHGEF10L	2
PTPRT	2
SAXO2	2
SLC11A2	2
H1FOO	2
HFE2	2
RNF216	2
NOL4L	2
FCAMR	2
PRUNE2	2
BRCC3	2
MAP2	2
ANK1	2
HECW1	2
ZFHX4	2
PLOD1	2
TECTA	2
ADGRG7	2
MTOR	2
RBP3	2
UBN2	2
PDCD2L	2
DOPEY1	2
WNT11	2
GOLGA1	2
LMOD1	2
SDK1	2
COL5A3	2
ZFP42	2
GRIK4	2
PLXNA4	2
